,user_id,n_pin,n_followers,n_following,n_like,county,n_following_twitter,n_follower_twitter,n_tweet
7387,2211621,0,9,11,0,JP,,,
7388,2211624,58,8,72,6,JP,,,
7389,2211633,60,15,64,212,JP,,,
7390,2211641,15,7,14,4,JP,,,
7391,2211778,373,14,6,0,IL,,,
7392,2211987,4,14,36,13,JP,,,
7393,2212172,12,6,19,50,TH,,,
7394,2212609,2,1,0,3,TH,,,
7395,2213221,215,284,47,57,IN,68.0,53.0,200.0
7396,2213581,0,13,9,16,KR,,,
7397,2216293,4,5,54,5,KR,,,
7398,2216299,1674,107,216,8,TR,95.0,52.0,608.0
7399,2216993,2,4,10,1,JP,,,
7400,2217059,4,19,52,0,TR,,,
7401,2217777,0,10,13,5,JP,,,
7402,2217802,3238,256,529,233,TR,,,
7403,2217971,4,4,14,5,KR,,,
7404,2218025,1697,192,294,12,TR,,,
7405,2218216,5,15,117,27,TH,,,
7406,2218858,7,30,31,0,KR,,,
7407,2219390,21,8,18,10,JP,,,
7408,2219415,100,4,68,52,JP,,,
7409,2219622,53,24,130,7,TH,,,
7410,2219646,2,11,40,10,TH,,,
7411,2219706,5,8,16,3,TR,,,
7412,2219803,10,4,20,7,KR,,,
7413,2220141,0,3,16,0,JP,,,
7414,2220168,141,7,41,169,CN,,,
7415,2220178,0,11,22,3,JP,,,
7416,2220186,56,9,22,127,JP,,,
7417,2220187,38,2,13,2,JP,,,
7418,2220188,0,11,12,0,JP,,,
7419,2220200,0,5,57,0,TH,,,
7420,2220207,822,35,87,793,KR,,,
7421,2220243,169,5,8,0,JP,,,
7422,2220345,0,9,18,4,TR,,,
7423,2220354,0,17,12,0,TR,,,
7424,2220356,0,8,23,0,TR,,,
7425,2220357,0,29,1,3,TR,,,
7426,2220371,73,1,17,0,TR,344.0,67.0,5.0
7427,2220380,12,8,82,49,TH,,,
7428,2220403,0,12,24,1,JP,,,
7429,2220409,21,5,14,0,IL,,,
7430,2220484,2,4,15,9,CN,,,
7431,2220605,0,1,5,0,JP,,,
7432,2221059,0,3,12,0,CN,,,
7433,2221084,6,30,61,0,KR,,,
7434,2221102,11,8,237,58,TH,,,
7435,2221133,2171,128,77,4,JP,,,
7436,2221186,212,9,2,0,JP,,,
7437,2221211,2,5,59,0,TR,,,
7438,2221428,40,14,24,1,JP,,,
7439,2221561,0,8,14,0,TR,,,
7440,2221721,313,28,56,68,ID,787.0,313.0,2890.0
7441,2221782,217,57,206,3,TH,,,
7442,2221785,258,19,51,0,JP,,,
7443,2221800,1,4,56,1,TH,,,
7444,2221804,0,1,53,0,TR,,,
7445,2221845,91,7,16,104,JP,,,
7446,2221885,0,4,9,0,JP,,,
7447,2221936,3,55,5,0,IN,,,
7448,2221961,0,10,51,0,KR,,,
7449,2222018,14,4,119,202,TH,,,
7450,2222236,26,4,13,232,JP,,,
7451,2222429,0,4,54,0,TH,,,
7452,2222497,5,14,3,0,JP,,,
7453,2222507,4,8,14,0,TH,,,
7454,2222660,0,4,10,1,TR,,,
7455,2222725,120,27,30,30,TR,57.0,82.0,1077.0
7456,2222928,0,1,13,0,KR,,,
7457,2222965,138,7,59,54,TR,638.0,159.0,1555.0
7458,2222983,99,1,4,14,IL,,,
7459,2223139,1,3,16,0,JP,,,
7460,2223209,1274,23,28,2,KR,,,
7461,2223343,0,0,1,0,TR,,,
7462,2223349,7,7,19,10,JP,,,
7463,2223354,15,2,9,3,TR,,,
7464,2223479,2326,31,56,74,JP,,,
7465,2223488,15,1,59,0,TR,,,
7466,2223505,363,72,194,1534,TR,,,
7467,2223516,8,5,15,5,JP,,,
7468,2223671,2,13,68,0,KR,,,
7469,2223732,0,1,52,0,KR,,,
7470,2223808,15604,474,384,3648,IL,,,
7471,2223812,215,8,73,53,IL,,,
7472,2223821,492,13,27,0,IL,,,
7473,2223825,572,8,57,254,IL,,,
7474,2223854,0,1,56,5,TR,,,
7475,2223859,77,28,235,139,TR,,,
7476,2223861,2239,100,84,267,TR,121.0,24.0,531.0
7477,2223863,0,19,4,2,TR,,,
7478,2223864,7520,583,225,604,TR,,,
7479,2224010,49170,1224,60,102,IL,,,
7480,2224044,334,7,47,37,IL,,,
7481,2224118,320,58,11,14,IL,,,
7482,2224172,1,5,16,0,TH,,,
7483,2224209,13,5,7,25,KR,,,
7484,2224378,0,18,136,129,IL,,,
7485,2224431,13,8,55,53,TR,19.0,16.0,1203.0
7486,2224434,50,7,21,40,IL,,,
7487,2224635,73,17,31,0,JP,,,
7488,2224746,0,29,57,0,JP,,,
7489,2224762,17,10,14,0,JP,,,
7490,2224767,0,5,13,0,JP,,,
7491,2224772,5,5,64,112,JP,,,
7492,2224774,3,5,23,0,JP,,,
7493,2224775,0,7,16,0,JP,,,
7494,2224879,0,1,51,38,TH,,,
7495,2225151,0,8,0,0,KR,,,
7496,2225173,1,4,4,12,TR,,,
7497,2225284,0,12,4,0,JP,,,
7498,2225307,50,22,33,4,IL,,,
7499,2225459,74,4,57,22,ID,,,
7500,2225508,1,10,93,0,TR,,,
7501,2225513,20,23,26,23,TR,181.0,161.0,1697.0
7502,2225521,2,3,69,0,TR,,,
7503,2225522,0,7,14,0,TR,,,
7504,2225576,0,6,68,85,IL,,,
